date,cat1,words1,cat2,words2,cat3,words3,cat4,words4
2026-09-28,HISTORICAL SCOTTISH CURLING SITES,"CARSEBRECK, LOCH LEVEN, MEARNS, ROSSLYN",ROTATION OF A DELIVERED STONE,"CLOCKWISE, HANDLE, TURN, TWIST",SHOTS HIDING BEHIND GUARDS,"BURIED, COME-AROUND, DRAW-AROUND, SNEAK",WORDS ASSOCIATED WITH 'SHEET',"BED, ICE, METAL, MUSIC"
2026-09-29,MEASURING TOOLS IN CURLING,"COMPASS, LASER, STICK, WAND",INTERVALS TIMED BY CURLERS,"BACK-TO-HOG, HOG-TO-HOG, SPLIT, THINKING",FAMOUS CANADIAN SECOND PLAYERS,"HEBERT, LAING, MEAD, SAVILL",WORDS THAT FOLLOW 'SPLIT',"END, HOUSE, RINGS, SECOND"
2026-09-30,GOALS WHEN PLAYING WITH HAMMER,"AGGRESSIVE, DEUCE, PATIENT, SPLIT",GOALS WHEN PLAYING WITHOUT HAMMER,"CLUTTER, FORCE, GUARD, STEAL",PARTS OF A CURLING BROOM,"BOLT, CAP, HEAD, SHAFT",WORDS RHYMING WITH 'STONE',"BONE, CONE, HONE, ZONE"
2026-10-01,CURLING STONE CRAFTING TERMS,"INSERT, LATHE, POLISH, QUARRY",PEBBLE WATER DROPLET SIZES,"COARSE, DUAL, FINE, MEDIUM",CANADIAN BRIER MULTI-CHAMPIONS,"FERBEY, GUSHUE, HOWARD, KOE",WORDS THAT FOLLOW 'CURL',"BAR, IRON, PATH, UP"
2026-10-02,WHEELCHAIR CURLING SPECIFICS,"BRAKE, CUE, EXTENSION, NO-SWEEP",WICK SHOT CHARACTERISTICS,"ANGLE, DEFLECTION, GLANCE, GRAZE",NORDIC CURLING NATIONS,"DENMARK, FINLAND, NORWAY, SWEDEN",WORDS BEFORE 'PLAY',"FAIR, FOUL, POWER, TRIPLE"
2026-10-03,PHASES OF STONE RELEASE,"EXTEND, FLICK, ROTATE, SET",DEBRIS CAUSING A STONE TO PICK,"DIRT, FIBRE, HAIR, ICE",ADJECTIVES FOR AN OPEN HOUSE,"BARE, CLEAN, CLEAR, EMPTY",WORDS MEANING 'NOT REACHING THE HOUSE',"HOGGED, LIGHT, SHORT, STALLED"
2026-10-04,HISTORIC SCOTTIES CONTENDERS,"ALBERTA, CANADA, MANITOBA, ONTARIO",METHODS TO COMMUNICATE ICE SPEED,"SECONDS, SPLIT, T-WEIGHT, WATCH",TAKEOUT SHOTS,"CHIP, DOUBLE, HIT-AND-ROLL, NOSE",THINGS WITH 'BUTTONS',"ELEVATOR, HOUSE, REMOTE, SHIRT"
2026-10-05,ICE TECHNICIAN'S TOOLS,"BLADE, NIPPER, PEBBLER, SCRAPER",DESCRIPTIONS OF STONE TRAJECTORY,"DUMP, FINISH, RUN, STRAIGHTEN",ASIAN WOMEN'S SKIPS,"FUJISAWA, GIM, KIM, WANG",WORDS ENDING IN 'LINE',"BACK, CENTRE, HOG, TEE"
2026-10-06,CRITICAL MATCH SITUATIONS,"EXTRA, FINAL, HAMMER, TIEBREAKER",TOURNAMENT DRAW STYLES,"KNOCKOUT, OLYMPIC, PAGE, SEEDED",CURLING EQUIPMENT BRANDS,"ASHAM, BALANCEPLUS, GOLDLINE, HARDLINE",WORDS AFTER 'ICE',"AGE, BOX, CAP, MAKER"
2026-10-07,CURLING SOCIAL TRADITIONS,"BANQUET, BROOMSTACK, HANDSHAKE, PINS",DOUBLE TAKEOUT VARIATIONS,"ANGLE, INSIDE, OUTSIDE, SPLIT",MEN'S OLYMPIC GOLD SKIPS,"EDIN, GUSHUE, MARTIN, SHUSTER",WORDS THAT FOLLOW 'DRAW',"BACK, POKER, SHOT, WEIGHT"
2026-10-08,NUMBERS OF PROTECTED FGZ STONES HISTORICALLY,"FIVE, FOUR, NONE, THREE",DUTIES OF THE FIFTH / ALTERNATE,"CHART, OBSERVE, PRACTICE, WARMUP",PATHS A CURLING STONE CAN TAKE,"BACKUP, FALL, RUN, WIDE",WORDS STARTING WITH 'TEE',"BALL, BIRD, LINE, SHIRT"
2026-10-09,ANALYTICS METRICS IN CURLING,"ACCURACY, CONVERSION, FORCE, STEAL",QUALITIES OF A CURLING SLIDER,"GLIDE, HARDNESS, SPEED, TEFLON",HISTORIC SCOTTISH CURLING TOWNS,"AIRDRIE, CURRIE, KILSYTH, PERTH",WORDS BEFORE 'STICK',"BROOM, CUE, DELIVERY, HOCKEY"
2026-10-10,NOTABLE ITALIAN CURLERS,"ARMAN, CONSTANTINI, MOSANER, RETORNAZ",SHOT CONTACT ANGLES,"BLUNT, CUT, FLIC, THIN",FACTORS AFFECTING ICE SPEED,"HUMIDITY, PEBBLE, TEMPERATURE, WEAR",WORDS PRECEDING 'GUARD',"BACK, BODY, CENTRE, CORNER"
2026-10-11,CANADIAN PROVINCIAL CHAMPIONSHIP TROPHIES,"BOSTON, PURPLE, SILVER, TANKARD",UNUSUAL STONE RUNNING TRAITS,"CUTTER, DUMPER, RUNNER, STRAIGHT",RESULTS AFTER A HIT SHOT,"BLANK, BURIED, ROLL-OUT, STAY",WORDS RHYMING WITH 'PEEL',"DEAL, HEEL, MEAL, STEEL"
2026-10-12,RESPONSIBILITIES OF FRONT-END PLAYERS,"CLEANING, JUDGING, SWEEPING, THROWING",AGGRESSIVE PEELING ACTIONS,"BLANKING, PEELING, TICKING, TRASHING",CIRCLES IN THE TARGET AREA,"BUTTON, EIGHT, FOUR, TWELVE",WORDS MEANING 'RESTING AGAINST ANOTHER STONE',"FROZEN, JAMMED, PARKED, SNOOKERED"
2026-10-13,WORLD CURLING CHAMPIONSHIP DISCIPLINES,"JUNIOR, MEN, MIXED, WOMEN",ITEMS ON A COMPETITIVE CURLING JACKET,"BADGE, CREST, FLAG, SPONSOR",DELIVERY DEFECTS,"DRIFT, FLICK, PUSH, SLOW",WORDS AFTER 'BUTTON',"DOWN, HOLE, NOSE, SHOT"
2026-10-14,SOUNDS IN A CURLING CLUB,"CHATTER, CLACK, ROAR, YELL",COMPONENTS OF THE HACK,"ANCHOR, FOOTHOLD, GRIP, RUBBER",CANADIAN MEN'S VICE-SKIPS,"FRY, LAING, NICHOLS, SAVILL",WORDS PRECEDING 'WEIGHT',"BUMPER, CONTROL, DRAW, TAKEOUT"
2026-10-15,MIXED DOUBLES POWER PLAY OPTIONS,"CORNER, GUARD, SPLIT, WIDE",RESULTS OF STONE-TO-STONE CONTACT,"DEFLECTION, GLANCE, NOSE, WICK",PACIFIC-ASIA CURLING POWERS,"AUSTRALIA, CHINA, JAPAN, KOREA",WORDS STARTING WITH 'BROOM',"CLOSET, HANDLE, STACK, STICK"
2026-10-16,ICE CREW TASKS,"MEASURE, MOP, PEBBLE, SCRAPE",DESCRIPTIONS OF FAST CURLING ICE,"KEEN, QUICK, SHARP, SLICK",FAMOUS CANADIAN THIRDS (WOMEN),"FERGUSON, LAWES, MISKEW, OVERTON-CLAPHAM",WORDS MEANING 'TO REMOVE',"CLEAR, ELIMINATE, HIT, TAKE"
2026-10-17,DEFENSIVE ZONES ON THE SHEET,"CENTRE, CORNER, FLANK, WING",WAYS TO SCORE TWO POINTS,"DRAW, RAISE, SPLIT, TAP",MATERIALS IN CURLING CLOTHING,"FLEECE, NYLON, SPANDEX, TEFLON",WORDS RHYMING WITH 'GRIP',"CHIP, FLIP, SLIP, TRIP"
2026-10-18,YOUTH CURLING AGE DIVISIONS,"BANTAM, JUNIOR, JUVENILE, U18",SHOT AVAILABILITY,"BURIED, GUARDED, OPEN, SPLIT",HOST CITIES OF MAJOR CURLING EVENTS,"BASEL, CALGARY, EDMONTON, PERTH",WORDS BEFORE 'SHOT',"BANK, CHEAP, DRAW, SNAP"
2026-10-19,CURLING STONE PHYSICAL ATTRIBUTES,"BAND, DENSITY, GRANITE, STRIKE",CAUSES OF STONE DRIFT,"DUMPING, FLICKING, NARROW, PUSHING",ELITE MEN'S SKIPS OF THE 2020S,"EDIN, GUSHUE, MOUAT, RETORNAZ",WORDS ASSOCIATED WITH 'COLD',"CHILL, FREEZE, FROST, ICE"
2026-10-20,MULTIPLE SCOTTIES CHAMPION SKIPS,"EINARSON, HOMAN, JONES, SCHMIRLER",ICE TIMING REFERENCE POINTS,"BACK, HOG, SPLIT, TEE",ELEMENTS OF A STRATEGY TIMEOUT,"ANGLE, BROOM, CALL, WEIGHT",WORDS THAT CAN FOLLOW 'FREE',"FALL, FORM, GUARD, STYLE"
2026-10-21,EFFECTS OF DIRECTIONAL SWEEPING,"CARVE, DISTANCE, FINISH, HOLD",ICE SCRAPER CUTTING ANGLES,"CROSS, DIAGONAL, STRAIGHT, ZIGZAG",HISTORIC CANADIAN MEN'S THIRDS,"MEAD, NICHOLS, PARKER, WALCHUK",WORDS BEFORE 'LINE',"BASE, FINISH, GOAL, HOG"
2026-10-22,WORLD CURLING FEDERATION DISCIPLINES,"JUNIOR, MIXED, SENIOR, WHEELCHAIR",STONE SPEED DESCRIPTIONS,"CONTROL, FIRM, HEAVY, KEEN",ADVERSE SCOREBOARD OUTCOMES,"BLANK, BURN, FLASH, STEAL",WORDS ENDING IN 'STONE',"BLARNEY, CORNER, GEM, TOMB"
2026-10-23,SPIRIT OF CURLING PRINCIPLES,"COURTESY, FAIRNESS, RESPECT, SPORTSMANSHIP",DELIVERY STABILIZATION AIDS,"CRUTCH, SLED, STABILIZER, STICK",CANADIAN CURLING VENUES,"ARENA, GARDENS, PAVILION, SADDLEDOME",WORDS BEFORE 'HOUSE',"CLUB, FULL, OPEN, POWER"
2026-10-24,GRAND SLAM OF CURLING EVENTS,"CHALLENGE, MASTERS, NATIONAL, PLAYERS",WAYS TO REMOVE OPPONENT STONES,"CHIP, HIT, PEEL, RUNBACK",ARENA ICE PLANT GEAR,"BRINE, COMPRESSOR, DEHUMIDIFIER, SENSOR",WORDS THAT CAN FOLLOW 'BACK',"BOARD, LINE, RING, TRACK"
2026-10-25,EUROPEAN WOMEN'S CURLING POWERS,"DENMARK, SCOTLAND, SWEDEN, SWITZERLAND",MARKINGS AND ZONES ON THE ICE,"HACK, HOUSE, RINGS, WALKWAY",VOCAL SWEEPING CALLS,"GO, HARD, HURRY, YES",WORDS PRECEDING 'END',"BOOK, DEAD, SPLIT, TIE"
2026-10-26,SKIPS WITH SIX OR MORE CANADIAN TITLES,"FERBEY, GUSHUE, HOWARD, JONES",ICE SURFACE TROUBLE SPOTS,"FALL, FLAT, HOLE, TROUGH",POST-GAME CURLING TRADITIONS,"BROOMSTACK, DRINK, HANDSHAKE, TOAST",WORDS MEANING 'TO TOUCH LIGHTLY',"BRUSH, GRAZE, KISS, TICK"
